Player,Salary,Season,PTS,AST,REB,TOV,GP,IntegrationMethod,Source
eric bledsoe,15000000.0,2018.0,47.0,9.0,7.0,10.0,3.0,Exact,both
marcus morris sr,15000000.0,2020.0,192.0,27.0,78.0,24.0,19.0,Exact,both
mike bibby,14983603.0,2008.0,203.0,75.0,56.0,38.0,15.0,Exact,both
markelle fultz,14976129.0,2021.0,103.0,43.0,25.0,18.0,8.0,Exact,both
deron williams,14940153.0,2011.0,180.0,153.0,55.0,43.0,12.0,Exact,both
taurean prince,14928970.0,2021.0,292.0,69.0,108.0,36.0,29.0,Exact,both
taurean prince,14928970.0,2021.0,97.0,7.0,34.0,11.0,12.0,Exact,both
tony snell,14841920.0,2021.0,249.0,59.0,112.0,21.0,47.0,Exact,both
jr smith,14720000.0,2019.0,74.0,21.0,18.0,11.0,11.0,Exact,both
zach randolph,14666667.0,2009.0,226.0,15.0,137.0,23.0,11.0,Exact,both
gilbert arenas,14653466.0,2009.0,26.0,20.0,9.0,1.0,2.0,Exact,both
patrick beverley,14633685.0,2023.0,127.0,76.0,107.0,18.0,22.0,Exact,both
patrick beverley,14633685.0,2023.0,288.0,118.0,140.0,42.0,45.0,Exact,both
reggie bullock,14632779.0,2024.0,96.0,15.0,73.0,10.0,44.0,Fuzzy,both
brandon knight,14631250.0,2019.0,230.0,62.0,50.0,25.0,27.0,Exact,both
brandon knight,14631250.0,2019.0,266.0,71.0,59.0,30.0,39.0,Exact,both
brandon knight,14631250.0,2019.0,36.0,9.0,9.0,5.0,12.0,Exact,both
vin baker,14625000.0,2005.0,35.0,10.0,39.0,17.0,27.0,Exact,both
vin baker,14625000.0,2005.0,33.0,9.0,37.0,15.0,24.0,Exact,both
anfernee hardaway,14625000.0,2005.0,269.0,74.0,89.0,50.0,37.0,Exact,both
vin baker,14625000.0,2005.0,2.0,1.0,2.0,2.0,3.0,Exact,both
tj warren,14624297.0,2021.0,62.0,5.0,14.0,4.0,4.0,Exact,both
luke kennard,14574141.0,2023.0,272.0,54.0,75.0,16.0,24.0,Exact,both
luke kennard,14574141.0,2023.0,274.0,37.0,83.0,30.0,35.0,Exact,both
ben wallace,14500000.0,2009.0,165.0,44.0,362.0,34.0,56.0,Exact,both
dikembe mutombo,14422000.0,2001.0,304.0,22.0,322.0,52.0,26.0,Exact,both
doug mcdermott,14415995.0,2024.0,276.0,57.0,48.0,24.0,46.0,Exact,both
doug mcdermott,14415995.0,2024.0,75.0,13.0,11.0,4.0,18.0,Exact,both
baron davis,14000000.0,2011.0,208.0,92.0,36.0,39.0,15.0,Exact,both
tim thomas,13975000.0,2006.0,287.0,18.0,127.0,32.0,26.0,Exact,both
tim thomas,13975000.0,2006.0,300.0,20.0,131.0,33.0,29.0,Exact,both
tim thomas,13975000.0,2006.0,13.0,2.0,4.0,1.0,3.0,Exact,both
spencer dinwiddie,13958950.0,2021.0,20.0,9.0,13.0,5.0,3.0,Exact,both
josh hart,13876170.0,2022.0,259.0,56.0,70.0,33.0,13.0,Exact,both
antonio davis,13865000.0,2006.0,35.0,7.0,36.0,8.0,8.0,Exact,both
antonio davis,13865000.0,2006.0,216.0,21.0,208.0,51.0,44.0,Exact,both
antonio davis,13865000.0,2006.0,181.0,14.0,172.0,43.0,36.0,Exact,both
josh hart,13741332.0,2023.0,256.0,90.0,176.0,38.0,25.0,Exact,both
dorian finneysmith,13719965.0,2023.0,186.0,41.0,128.0,26.0,26.0,Exact,both
steve francis,13700000.0,2006.0,258.0,83.0,71.0,58.0,24.0,Exact,both
demarre carroll,13600000.0,2016.0,286.0,27.0,122.0,28.0,26.0,Exact,both
marcin gortat,13565218.0,2019.0,233.0,65.0,261.0,50.0,47.0,Exact,both
cody zeller,13528090.0,2018.0,233.0,31.0,177.0,33.0,33.0,Exact,both
antonio mcdyess,13500000.0,2004.0,138.0,16.0,138.0,30.0,24.0,Exact,both
antonio mcdyess,13500000.0,2004.0,290.0,36.0,257.0,57.0,42.0,Exact,both
shareef abdurrahim,13500000.0,2004.0,319.0,47.0,144.0,53.0,32.0,Exact,both
antonio mcdyess,13500000.0,2004.0,152.0,20.0,119.0,27.0,18.0,Exact,both
anfernee hardaway,13500000.0,2004.0,296.0,97.0,98.0,42.0,34.0,Exact,both
vin baker,13500000.0,2004.0,113.0,12.0,70.0,25.0,17.0,Exact,both
josh richardson,13431355.0,2022.0,239.0,49.0,60.0,27.0,21.0,Exact,both
joakim noah,13400000.0,2016.0,124.0,110.0,255.0,52.0,29.0,Exact,both
brian grant,13346000.0,2005.0,263.0,34.0,257.0,43.0,69.0,Exact,both
dewayne dedmon,13333333.0,2020.0,81.0,7.0,82.0,10.0,10.0,Exact,both
dewayne dedmon,13333333.0,2020.0,256.0,22.0,249.0,57.0,44.0,Exact,both
dewayne dedmon,13333333.0,2020.0,175.0,15.0,167.0,47.0,34.0,Exact,both
vince carter,13281000.0,2005.0,317.0,61.0,66.0,22.0,20.0,Exact,both
jalen rose,13279000.0,2004.0,212.0,56.0,64.0,37.0,16.0,Exact,both
jusuf nurkic,13125000.0,2020.0,141.0,32.0,82.0,19.0,8.0,Fuzzy,both
marvin bagley,13080735.0,2022.0,278.0,17.0,215.0,21.0,30.0,Fuzzy,both
marvin bagley,13080735.0,2022.0,262.0,19.0,123.0,18.0,18.0,Fuzzy,both
danny granger,13058606.0,2013.0,27.0,3.0,9.0,4.0,5.0,Exact,both
robert covington,13049698.0,2023.0,288.0,57.0,166.0,32.0,48.0,Exact,both
justise winslow,13000000.0,2020.0,124.0,44.0,73.0,24.0,11.0,Exact,both
andrew bogut,13000000.0,2013.0,186.0,67.0,245.0,35.0,32.0,Exact,both
tyson chandler,13000000.0,2018.0,300.0,53.0,418.0,59.0,46.0,Exact,both
josh richardson,12931372.0,2023.0,173.0,37.0,56.0,23.0,23.0,Exact,both
kenneth faried,12921348.0,2018.0,188.0,18.0,153.0,23.0,32.0,Exact,both
rajon rondo,12909090.0,2015.0,182.0,237.0,165.0,75.0,22.0,Exact,both
brandon clarke,12871424.0,2024.0,68.0,9.0,32.0,3.0,6.0,Exact,both
marvin bagley,12871424.0,2024.0,318.0,28.0,194.0,30.0,24.0,Fuzzy,both
marvin bagley,12871424.0,2024.0,265.0,27.0,118.0,29.0,26.0,Fuzzy,both
deandre jordan,12846241.0,2022.0,132.0,13.0,172.0,21.0,32.0,Exact,both
deandre jordan,12846241.0,2022.0,206.0,21.0,264.0,37.0,48.0,Exact,both
deandre jordan,12846241.0,2022.0,74.0,8.0,92.0,16.0,16.0,Exact,both
larry hughes,12827676.0,2009.0,279.0,60.0,65.0,35.0,25.0,Exact,both
wilson chandler,12800562.0,2019.0,305.0,82.0,215.0,46.0,51.0,Exact,both
wilson chandler,12800562.0,2019.0,241.0,72.0,168.0,39.0,36.0,Exact,both
wilson chandler,12800562.0,2019.0,64.0,10.0,47.0,7.0,15.0,Exact,both
daniel gafford,12770512.0,2024.0,324.0,46.0,201.0,28.0,29.0,Exact,both
courtney lee,12759670.0,2020.0,107.0,12.0,32.0,11.0,24.0,Exact,both
solomon hill,12758781.0,2020.0,49.0,10.0,21.0,11.0,11.0,Exact,both
solomon hill,12758781.0,2020.0,274.0,94.0,144.0,40.0,48.0,Exact,both
solomon hill,12758781.0,2020.0,323.0,104.0,165.0,51.0,59.0,Exact,both
emeka okafor,12642500.0,2012.0,266.0,24.0,213.0,37.0,27.0,Exact,both
jeremy lin,12516746.0,2018.0,18.0,4.0,0.0,3.0,1.0,Exact,both
miles plumlee,12500000.0,2017.0,82.0,18.0,53.0,22.0,32.0,Exact,both
miles plumlee,12500000.0,2019.0,80.0,17.0,39.0,10.0,18.0,Exact,both
nikola mirotic,12500000.0,2019.0,163.0,20.0,75.0,11.0,14.0,Exact,both
miles plumlee,12500000.0,2018.0,237.0,45.0,228.0,63.0,55.0,Exact,both
miles plumlee,12500000.0,2017.0,31.0,3.0,42.0,8.0,13.0,Exact,both
